TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
92. ECU (1-2),-5.4,26.9 (75),32.3 (101),0.0 (73)
93. Illinois (1-3),-5.6,26.3 (79),32.1 (100),0.2 (19)
94. Air Force (2-1),-6,23.0 (101),28.8 (84),-0.2 (107)
95. Colorado St. (1-2),-6.1,20.1 (110),26.2 (67),0.0 (60)
96. Kent St. (1-2),-7.9,29.2 (61),36.5 (117),-0.6 (129)
97. So. Miss (1-2),-8.1,18.2 (119),26.4 (69),0.1 (43)
98. Miami-OH (1-2),-8.8,23.6 (95),32.5 (103),0.1 (50)
99. Hawaii (1-3),-8.9,25.0 (88),34.0 (107),0.1 (49)
100. Utah St. (3-0),-9.4,25.8 (83),35.5 (112),0.2 (21)
101. Ohio (0-3),-9.7,25.9 (81),35.1 (111),-0.5 (125)
102. MTSU (1-2),-10.1,21.7 (106),31.7 (96),-0.1 (103)
103. Temple (1-2),-10.6,19.8 (111),30.2 (89),-0.2 (108)
104. Arizona (0-3),-11.2,23.7 (93),34.8 (110),-0.1 (101)
105. Arkansas St. (1-2),-11.2,27.4 (72),38.6 (120),0.0 (54)
106. EMU (2-1),-11.5,30.2 (55),41.5 (126),-0.2 (114)
107. S. Alabama (3-0),-11.8,18.6 (117),30.6 (91),0.2 (28)
108. La. Tech (1-2),-12.4,24.1 (92),36.4 (116),-0.1 (94)
109. FIU (1-2),-12.5,19.0 (114),31.7 (97),0.1 (37)
110. Ball St. (1-2),-12.9,23.6 (94),36.6 (118),0.0 (58)
111. N. Texas (1-2),-12.9,23.2 (100),36.0 (114),-0.1 (105)
112. Charlotte (2-1),-13.2,26.8 (77),40.3 (124),0.2 (26)
113. USF (1-2),-13.4,18.1 (121),31.6 (95),0.1 (41)
114. NIU (1-2),-13.7,20.3 (109),34.0 (108),0.1 (52)
115. Ga. Southern (1-2),-14.1,18.9 (116),33.4 (105),0.3 (12)
116. Texas St. (1-2),-14.6,25.0 (89),39.4 (122),-0.1 (98)
117. New Mexico (2-1),-15.6,20.6 (107),36.1 (115),-0.1 (84)
118. Vanderbilt (1-2),-15.7,18.2 (120),33.8 (106),-0.1 (81)
119. BGSU (1-2),-17.3,13.4 (126),30.8 (92),0.2 (30)
120. Kansas (1-2),-17.5,19.1 (113),36.8 (119),0.2 (27)
121. Navy (0-2),-18,14.0 (125),31.8 (98),-0.3 (118)
122. Rice (0-3),-19.7,11.8 (129),30.9 (93),-0.6 (130)
123. UTEP (2-1),-20.5,20.4 (108),41.2 (125),0.2 (24)
124. UNLV (0-3),-21.4,18.2 (118),39.6 (123),-0.1 (86)
125. Akron (1-2),-22.8,16.3 (123),39.1 (121),0.0 (70)
126. ODU (1-2),-23.6,12.0 (128),35.5 (113),-0.1 (83)
127. ULM (1-1),-26.7,16.1 (124),42.8 (127),0.0 (72)
128. UMass (0-3),-27.6,19.0 (115),46.0 (129),-0.6 (127)
129. NMSU (1-3),-32.2,12.6 (127),44.7 (128),0.0 (75)
130. UConn (0-4),-37.4,10.3 (130),47.2 (130),-0.4 (124)
